stream_uid,delivery_stream,type,timestamp,context_data,context_data_type,date_created,status,assistant_id,record_id
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1016,123096260885458,"{""connectionPreparingPathHasDNS"":false,""connectionPreparingPathIsExpensive"":false,""connectionPreparingPathGateways"":[],""connectionInfo"":""[C87 connected fe80::fae0:543c:dabe:3cb7%utun0.39902 tcp, local: fe80::714a:5d31:d1cf:44db%utun0.1025, definite, attribution: developer, prohibit joining, path satisfied (Path is satisfied), viable, interface: utun0, scoped, ipv6]"",""connectionPreparingPathHasIpv6"":true,""connectionPreparingPathHasIpv4"":false,""connectionPreparingPathIsConstrained"":false,""connectionPreparingPathInterfaces"":[{""type"":0,""name"":""utun0"",""index"":36}],""connectionPreparingPathStatus"":1}",2,1633059832.07009,1,unknown,98C81004-AA2D-48E4-AEA8-68388511197E
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1017,123096260967583,"{""connectionEstablishmentResolution"":[],""connectionEstablishmentProxyConfiguration"":{""proxyConfigured"":0,""usingConfiguredProxy"":0},""connectionEstablishmentDuration"":0,""connectionInfo"":""[C87 connected fe80::fae0:543c:dabe:3cb7%utun0.39902 tcp, local: fe80::714a:5d31:d1cf:44db%utun0.1025, definite, attribution: developer, prohibit joining, path satisfied (Path is satisfied), viable, interface: utun0, scoped, ipv6]"",""connectionEstablishmentPreviousAttemptCount"":0,""connectionEstablishmentAttemptDelay"":0,""connectionEstablishmentProtocols"":[{""handShakeRTT"":0,""protocol"":""tcp"",""handShakeDuration"":0}]}",2,1633059832.0701,1,unknown,E3673174-4495-4F79-8BFA-A1CA3C04E13E
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1921,123145015405833,"{""attached"":true}",2,1633059885.60712,1,unknown,AFA64115-1587-4E28-B4E8-E36BB9757DFB
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1410,123145014389500,"{""eventSource"":""SiriButtonIdentifierLongPressLockButton""}",2,1633059885.6072,1,unknown,2503ED26-6632-4931-8988-107270A28AC4
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123144549755083,,0,1633059885.60721,1,unknown,E7FDD15E-886E-4474-B856-B941AFFE09B0
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1016,123145200105625,"{""connectionPreparingPathHasDNS"":false,""connectionPreparingPathIsExpensive"":false,""connectionPreparingPathGateways"":[{""type"":1,""port"":""0""}],""connectionInfo"":""[C89 connected fe80::fae0:543c:dabe:3cb7%utun0.38461 tcp, local: fe80::714a:5d31:d1cf:44db%utun0.1025, definite, attribution: developer, prohibit joining, path satisfied (Path is satisfied), viable, interface: utun0, scoped, ipv6]"",""connectionPreparingPathHasIpv6"":true,""connectionPreparingPathHasIpv4"":false,""connectionPreparingPathIsConstrained"":false,""connectionPreparingPathInterfaces"":[{""type"":0,""name"":""utun0"",""index"":36}],""connectionPreparingPathStatus"":1}",2,1633059885.60721,1,unknown,6D5BE9B9-C9BC-4468-9B10-FD1469DBFE0C
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1015,123145200233875,"{""interface_type"":{""wifi"":false,""other"":true,""wired"":false,""loopback"":false,""cellular"":false}}",2,1633059885.60722,1,unknown,E91C75E6-25A7-4D87-A754-ED224A0A8495
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1920,123145015273041,,0,1633059885.60722,1,unknown,8D63498E-5A4F-4548-9218-9923C01283D1
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123144549757708,,0,1633059885.60723,1,unknown,E8258963-F12F-44BF-A092-58D2625F91C0
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1017,123144184758541,"{""connectionEstablishmentResolution"":[{""duration"":4,""successfulEndpoint"":{""type"":1,""port"":""443""},""resolutionSource"":2,""preferredEndpoint"":{""type"":1,""port"":""443""},""endpointCount"":1}],""connectionEstablishmentProxyConfiguration"":{""proxyConfigured"":0,""usingConfiguredProxy"":0},""connectionEstablishmentDuration"":100,""connectionInfo"":""[C88 connected guzzoni.apple.com:443\/5228 tcp, traffic class: 600, multipath service: 2, tls, attribution: developer, path satisfied (Path is satisfied), viable, interface: en0, ipv4, dns]"",""connectionEstablishmentPreviousAttemptCount"":0,""connectionEstablishmentAttemptDelay"":0,""connectionEstablishmentProtocols"":[{""handShakeRTT"":42,""protocol"":""tcp"",""handShakeDuration"":42},{""handShakeRTT"":43,""protocol"":""tls"",""handShakeDuration"":53}]}",2,1633059885.60723,1,unknown,0EBAA13A-AB96-454C-BAC2-88360ADE6312
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123144549742833,,0,1633059885.60724,1,unknown,2048204E-4130-4010-AE94-74FF59E191AC
